Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Le rideau de Fer;12, rue André Del Sarte;75018;Autre;Retrait de commandes en magasin;Ventes de vinyles et de bandes dessinées d'occasion;;vinyles@lerideaudefer.com;06 13 20 85 11;rideaudefer@sfr.fr;"{""type"": ""Point"", ""coordinates"": [2.346183838905525, 48.88583533583237]}";48.8858353358,2.34618383891
À la Mère de Famille;59, rue de la Pompe;75016;Boulangerie - pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;La plus ancienne chocolaterie de Paris;;http://www.lameredefamille.com;07 77 59 76 27;contact@lameredefamille.com;"{""type"": ""Point"", ""coordinates"": [2.2761490416051933, 48.862672255098]}";48.8626722551,2.27614904161
PEARL INTERNATIONAL;54 Rue SAINT ANTOINE;75004;Artisanat d'art;Retrait de commandes en magasin;"SPECIALISTE FRANCAIS de LA PERLE de CULTURE d'EAU DOUCE et des PERLES d'IMITATION - bijoux couture - atelier de réparations
depuis 1986 dans le quartier du MARAIS-BASTILLE
label "" FABRIQUE à PARIS """;;http://www.pearlinternationalparis.com;07 86 96 40 48;pearl.paris@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.364145897847024, 48.85426943382673]}";48.8542694338,2.36414589785
COULEUR PAPIER;178 avenue Daumesnil;75012;Presse et papeterie;Retrait de commandes en magasin;Papeterie avec tout le nécessaire pour l'école, la maison et le bureau : Cahiers, Blocs, Crayons, Stylos, Recharges, Papiers tous styles, Enveloppes tous formats, Classement, Dessin;;http://www.couleurpapier.com;;info@couleurpapier.com;"{""type"": ""Point"", ""coordinates"": [2.397189165269762, 48.838768522447424]}";48.8387685224,2.39718916527
Pizza Chic;13 rue de Mézières;75006;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Le choix de nos produits répond à une exigence de qualité et d’authenticité. Nous utilisons exclusivement des farines et levures italiennes, et des produits bio de saison.;;http://www.pizzachic.fr;01 45 48 30 38;pizzachic@pizzachic.fr;"{""type"": ""Point"", ""coordinates"": [2.330560243451581, 48.85020541736218]}";48.8502054174,2.33056024345
Hazar And Co.;126 rue du château;75014;Jouets - Jeux;Livraisons à domicile, Retrait de commandes en magasin;Boutique de créateurs, bijoux et vêtements faits maison, accessoires de mode, papeterie, jouets pour les grands et les petits, déco poétique.;;http://hazarandco.com;06 19 01 14 99;aczitter@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.320452429249656, 48.83496093400196]}";48.834960934,2.32045242925
Librairie Florence de Chastenay;76 rue Gay Lussac;75005;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie experte depuis plus de 40 ans en ouvrages et oeuvres d'art rares sur les thèmes de l'occultisme, du symbolisme, de la démonologie, des sciences occultes,  de l'alchimie ou de l'ésotérisme;;https://chastenay.fr;01 43 54 05 78;librairie@chastenay.fr;"{""type"": ""Point"", ""coordinates"": [2.343267878682806, 48.841556863297264]}";48.8415568633,2.34326787868
Librairie le Piéton de Paris;58, rue de l'hôtel de ville;75004;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Au coeur historique de Paris, face au pont Louis Philippe et à l'île Saint Louis, la seule librairie entiérement dédiée à la capitale, vous invite à découvrir son large choix de livres sur Paris .;;http://www.lepietondeparis.fr;01 53 69 09 16;lepietondeparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.355489495727614, 48.854528973272494]}";48.8545289733,2.35548949573
CAMPISI;1 rue des bauches;75016;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Specialisé en pruduits alimentaires italiens;;http://www.campisigastronomie.com;01 42 24 10 55;info@campisigastronomie.com;"{""type"": ""Point"", ""coordinates"": [2.274847199648889, 48.85552125405942]}";48.8555212541,2.27484719965
DAMYEL;46 rue des rosiers;75004;Épicerie fine;Livraisons à domicile, Retrait de commandes en magasin;Chocolats et confiseries vegan Fabriqués à Paris;;http://www.damyel.com;01 47 27 60 69;contact@damyel.com;"{""type"": ""Point"", ""coordinates"": [2.358568106376292, 48.85764418040635]}";48.8576441804,2.35856810638
Les éthiquetés;55 rue de Paradis;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Concept store éco-responsable regroupant + de 500 articles éthiques & esthétiques.
Cosmétique, épicerie fine, mode, kids, maison, zéro déchet... tout ce qui vous faut pour (se) faire plaisir !";;http://www.lesethiquetes.fr;06 43 19 75 37;myriam@lesethiquestes.fr;"{""type"": ""Point"", ""coordinates"": [2.348802166238471, 48.87563757225881]}";48.8756375723,2.34880216624
Galerie Joël Knafo;182 rue du Faubourg Saint Honoré;75008;Autre;Livraisons à domicile, Retrait de commandes en magasin;;;http://www.litho.online;07 81 58 06 07;Galerie@joelknafo-art.com;"{""type"": ""Point"", ""coordinates"": [2.307287642018372, 48.87434730341676]}";48.8743473034,2.30728764202
loca-Maine;55 rue didot;75014;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Tout le matériel de bricolage en location spécialiste du matériel ponçage parquet 
Produit de traitement pour parquet et divers";;http://www.locamaine.fr;01 43 20 00 98;locarico75@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.319700912428343, 48.83097003584228]}";48.8309700358,2.31970091243
pompon bazar;15 rue du chateau d'eau;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;Commerce spécialisée dans les fleurs sechées (avec un atelier pour les commandes ), la decoration artisanale et les tapis berberes.;;http://www.pomponbazar.com;06 19 27 01 16;contact@pomponbazar.com;"{""type"": ""Point"", ""coordinates"": [2.360449651969786, 48.869923246504996]}";48.8699232465,2.36044965197
UJUMI;189 rue d'aubervilliers;75018;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"livraison en vélo électrique
Couscous, Maffé de poulet, Poulet yassa, bol salade santé, végétarien, plateau repas, sans gluten, cuisine du monde, cuisine pour tous, solidarité, insertion, santé, écolo";;http://www.ujumi.com;01 47 82 19 15;fbevis@planetesesame92.com;"{""type"": ""Point"", ""coordinates"": [2.370134213253158, 48.89664052239964]}";48.8966405224,2.37013421325
TIP TOQUE;43, rue Richer;75009;Autre;Livraisons à domicile;Bonjour, Tiptoque est un collectif de 40 chefs parisiens  qui proposent de la livraison et la vente à emporter pour leurs clients. Pourrions-nous voir ensemble comment tous les inscrire?;;https://www.tiptoque.com;06 48 48 77 55;imanol@tiptoque.paris;"{""type"": ""Point"", ""coordinates"": [2.343575039735245, 48.873990914895636]}";48.8739909149,2.34357503974
Emarobe;49 rue brezin;75014;Autre;Livraisons à domicile, Retrait de commandes en magasin;Une boutique de mode, bijoux , accessoires et de petites merveilles ...;;<Nul>;09 60 38 43 17;emarobe.shop@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.327373913452342, 48.83133400392055]}";48.8313340039,2.32737391345
Les 5 marches;12 rue Girardon;75018;Restaurant ou traiteur;Retrait de commandes en magasin;Café cantine ouvert du mercredi au dimanche;;<Nul>;09 88 08 98 79;contact@5marches-montmartre.com;"{""type"": ""Point"", ""coordinates"": [2.337778730808851, 48.88790030751888]}";48.8879003075,2.33777873081
Shan goût;22 rue Hector malot;75012;Restaurant ou traiteur;Retrait de commandes en magasin;Dégustation  poulet à bresse rocette chinois traditionnel traditionnel découvre par chef yishan tout Faire maison sans glutamate produits nature et fraîcheur. Réservez vous 1 jour avant au 0618833666;;<Nul>;06 18 83 36 66;meishibon2008@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.377333185548577, 48.846954749786384]}";48.8469547498,2.37733318555
Le blé d'or d'Alésia;237 rue d'alésia;75014;Boulangerie - pâtisserie;Retrait de commandes en magasin;;;<Nul>;07 68 90 77 71;hbtex@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.311710701034592, 48.83255293325856]}";48.8325529333,2.31171070103
Fromagerie Vacroux;5 rue Daguerre;75014;Fromagerie;Livraisons à domicile, Retrait de commandes en magasin;;;<Nul>;01 43 22 09 04;sylvainvaccroux@glmail.com;"{""type"": ""Point"", ""coordinates"": [2.33084837818898, 48.83342640828153]}";48.8334264083,2.33084837819
La rose de grenelle;131 boulevard  de grenelle;75015;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;composition florale,  plantation, décoration  florale, deuil , mariage, livraison à Paris;;<Nul>;01 43 06 52 90;larosedegrenelle@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.300412514264354, 48.84851769563718]}";48.8485176956,2.30041251426
de la neige en été;16, rue Villiers de l'Isle Adam;75020;Jouets - Jeux;Retrait de commandes en magasin;"Une boutique de cadeaux pour les enfants & les adultes !
Jeux & jouets, loisirs créatifs, maroquinerie, bijoux, décoration, etc.";;http://delaneigeenete.fr;09 70 98 53 15;click&collect@delaneigeenete.fr;"{""type"": ""Point"", ""coordinates"": [2.394538402933073, 48.86586542893084]}";48.8658654289,2.39453840293
Restaurant Bissac;10 rue de la bourse;75002;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Restaurant de cuisine traditionnelle française élaboré de produits frais de saison;;http://www.bissac.fr;01 49 27 01 90;contact@bissac.fr;"{""type"": ""Point"", ""coordinates"": [2.339325777061022, 48.86964423014736]}";48.8696442301,2.33932577706
Dilettantes, La Maison du Champagne;22 rue de Savoie;75006;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;La seule authentique cave à champagnes de Paris. Fanny Heucq, fille de vigernon, vous propose des champagnes inédits. Plus besoin d'une occasion spéciale pour ouvrir une bouteille de champagne !;;http://www.dilettantes.fr;06 36 07 64 63;elodie@dilettantes.fr;"{""type"": ""Point"", ""coordinates"": [2.340911130115455, 48.85441596774262]}";48.8544159677,2.34091113012
Populus;40 Rue du Tage;75013;Restaurant ou traiteur;Retrait de commandes en magasin;Petit restaurant du quartier des Peupliers, cuisine simple et goûteuse. Produits de saison, carte courte renouvelée régulièrement. Formules à emporter, détail sur notre page FB ou Instagram.;;http://www.populus-bistrot.fr;09 54 96 79 10;Emmanuelle.be@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3555361133687223, 48.822176113565206]}";48.8221761136,2.35553611337
L atypique;46 rue Chanzy;75011;Autre;Retrait de commandes en magasin;Je suis une friperie /salon de thé. Je peux faire du click and collect ou de la livraison. Mon Instagram @l_atypique_paris_11 merci;;;06 36 97 53 79;caneldom@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.387274095558902, 48.85311870370268]}";48.8531187037,2.38727409556
NEXITI MARKET;29 Rue Jean-Pierre Timbaud;75011;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;;;http://nexitimarket.fr/;06 52 27 02 30;nexiti.market@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.369115664897468, 48.86559637544826]}";48.8655963754,2.3691156649
ZAYTOON;2 rue duchefdelaville;75013;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Cuisine Libanaise moderne;;http://www.zaytoon.fr;06 30 10 57 52;hello@zaytoon.fr;"{""type"": ""Point"", ""coordinates"": [2.370776514679713, 48.8325555865521]}";48.8325555866,2.37077651468
MACA'RONG;175 rue Legendre;75017;Autre;Retrait de commandes en magasin;Nous proposons des macarons, cup-cakes et gâteau d'anniversaire tous les jours en fonction des demandes. Nos pâtisseries sont élaborées sur place avec des ingrédients BIO, AOP et Label Rouge.;;http://www.petitscommerces.fr/page/macarong/;06 13 60 71 90;kanikapenelaud78@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.325853896026356, 48.89174043941237]}";48.8917404394,2.32585389603
MOMBINI;22 rue Gerbert;75015;Jouets - Jeux;Retrait de commandes en magasin;MOMBINI est une boutique-café fondée depuis 2013 à Paris 15e, avec un espace de jeu et des ateliers pour jeunes familles et bébés. Aujourd'hui, nous avons ouvert un e-shop pendant le confinement.;;https://mombini.shop;01 73 70 62 31;bonjour@mombini.com;"{""type"": ""Point"", ""coordinates"": [2.29892767617091, 48.83891305028244]}";48.8389130503,2.29892767617
fleuroshiki,,,,,,,;9 rue Beaugrenelle;75015;Artisanat d'art;Retrait de commandes en magasin;Le petit carré parisien pour votre bouteille - Artisanat de luxe pour les vins & spiritueux - Disponible uniquement sur place et en point de retrait  à la Cave aux Vins Vivants de Beaugrenelle, 15ème;;https://www.fleuroshiki.com/;06 34 69 52 47;fleur.sense@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.285446221788026, 48.8477389309768]}";48.847738931,2.28544622179
SAN POLO;117 rue Brancion;75015;Restaurant ou traiteur;Retrait de commandes en magasin;"Bienvenue
Pizzas artisanales Cuisine traditionnelle Italienne Plus de 30 ans d’expérience 
 La qualité à prix raisonnable. SAN POLO 
toujours la Qualité, prix, choix, fraicheur";;http://sanpolo.metro.rest;01 48 28 03 60;nathanpaul@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.301781775035707, 48.829460458337444]}";48.8294604583,2.30178177504
La Cave a Millesimes;180 Rue Lecourbe;75015;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Marchand de vins, bieres, Champagne et spiritueux, vieux Millesimes et epicerie, nous proposons egalement des plats a porter ainsi que des hutres de Cancale;;;01 48 28 22 62;cavamil@cave-millesimes.com;"{""type"": ""Point"", ""coordinates"": [2.29740034381658, 48.84115649343832]}";48.8411564934,2.29740034382
MIRO eyewear;24 rue Berbier du Mets;75013;Autre;Livraisons à domicile;"Créez & Personnalisez vos lunettes en ligne dans le style qui vous ressemble
Des lunettes de vue et de soleil uniquement faites pour vous & taillées sur mesure
100% Fabriquées en France & à la demande";;http://www.miro-eyewear.com;01 88 33 98 93;contact@miro-eyewear.com;"{""type"": ""Point"", ""coordinates"": [2.350123759229216, 48.83561812468159]}";48.8356181247,2.35012375923
On Partage;137 bis rue de Charonne;75011;Restaurant ou traiteur;Retrait de commandes en magasin;Cuisine de saison et café de spécialité - Commande sur place ou par téléphone 11h30-14h30 en semaine;;https://www.instagram.com/onpartage/;01 47 07 99 86;bonjour@onpartage.paris;"{""type"": ""Point"", ""coordinates"": [2.3874591988970693, 48.855233751509836]}";48.8552337515,2.3874591989
Size Factory Paris 15;169 bis rue Lecourbe;75015;Autre;Livraisons à domicile, Retrait de commandes en magasin;Size Factory est le spécialiste de la mode grande taille pour homme. Nous habillons les homme forts, corpulent ou grand de la tête au pieds de 2XL à 10XL.;;https://www.size-factory.com/magasin-grande-taille-homme-paris15e;01 42 50 80 30;contact@size-factory.com;"{""type"": ""Point"", ""coordinates"": [2.297771827952341, 48.8410551825449]}";48.8410551825,2.29777182795
Quai du bien être;28 Quai des Célestins;75004;Cosmétique;Livraisons à domicile, Retrait de commandes en magasin;"Quai du bien-être est un institut de beauté niché dans le 4ème arrondissement.
Rencontrer Sabah qui travaille avec de très bons produits issus de marques de renom, Annayake, IOMA et Revitalash.";;http://www.quaidubienetre.com;09 50 25 09 69;quaidubienetre@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.360016039267022, 48.85263535409578]}";48.8526353541,2.36001603927
ENYAA;37 RUE DE MONTPENSIER;75001;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Restaurant gastronomique nippon. Cuisine raffinée kyotoïte. Cave de sakés et champagnes unique.;;http://www.enyaa-paris.com/;01 40 26 78 25;contact@enyaa-paris.com;"{""type"": ""Point"", ""coordinates"": [2.337230648576537, 48.86580481892698]}";48.8658048189,2.33723064858
Un Chapeau Dans La Ville;22 rue Caulaincourt;75018;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;"Modiste créatrice de chapeaux stylés hommes-femmes label ""fabriqué à Paris"". En complément : accessoires mode, gants, bérets français, bonnets, écharpes étoles, bijoux fantaisie, petit rayon vêtements";;https://un-chapeau-dans-la-ville.business.site/;06 63 78 06 83;chapeau_ville@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.333372917057936, 48.88729558270036]}";48.8872955827,2.33337291706
Levis institut;98 rue des dames;75017;Cosmétique;Livraisons à domicile, Retrait de commandes en magasin;Institut en plekn coeur du quartier des dames. Nous proposons des produits haut de gamme;;http://levisinstitut.com;01 46 06 01 23;Levisinstitut@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.317353695915195, 48.882837302104555]}";48.8828373021,2.31735369592
La Récolte Batignolles;18 Boulevard des Batignolles;75017;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;https://marecolte.la-recolte.net/;;;"{""type"": ""Point"", ""coordinates"": [2.325433789461161, 48.88332377775964]}";48.8833237778,2.32543378946
La Recolte Beaubourg;43 rue Beaubourg;75003;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;https://marecolte.la-recolte.net/beaubourg;;;"{""type"": ""Point"", ""coordinates"": [2.353979048016423, 48.86243966757874]}";48.8624396676,2.35397904802
Touimer Bio;85 bis boulevard magenta;75010;Alimentation générale et produits de première nécessité;Livraisons à domicile;Produits frais, épicerie, fruits et légumes;;;06 25 00 51 80;;"{""type"": ""Point"", ""coordinates"": [2.355328298429304, 48.87678506290845]}";48.8767850629,2.35532829843
